Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","Keystone_1058_1x2032-CoinCell",128.778000,-114.300000,0.000000,top
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,-95.250000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,-105.410000,270.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.440000,-109.220000,90.000000,top
"C4","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,-88.900000,90.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.558000,-85.344000,270.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.817000,-95.250000,180.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.018000,-96.782999,270.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.841000,-88.528000,90.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.284000,-127.008999,270.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.138000,-121.166999,90.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.474000,-140.716000,90.000000,top
"C14","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.026000,-114.300000,270.000000,top
"D1","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.460000,-146.050000,270.000000,top
"D2","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.158000,-146.050000,270.000000,top
"D3","1N4148","D_SOD-123",144.119600,-85.217000,90.000000,top
"D4","1N4148","D_SOD-123",144.119600,-91.007200,90.000000,top
"D7","1N4148","D_SOD-123",96.520000,-114.428000,270.000000,top
"D8","B5819W","D_SOD-123",104.140000,-126.238000,0.000000,top
"D10","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.330000,-146.050000,90.000000,top
"J17","USB_B_Micro","USB_Micro-B_Molex-105017-0001",141.706600,-78.892400,180.000000,top
"L1","10uH","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.630000,-100.330000,270.000000,top
"Q1","SI2301CDS-T1-GE3","SOT-23",104.124000,-129.606000,270.000000,top
"R1","10k","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.440000,-114.291000,270.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.460000,-141.232999,90.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.158000,-141.215001,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.841003,-92.954994,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.138000,-130.547000,270.000000,top
"R8","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.982000,-127.000000,90.000000,top
"R10","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.330000,-140.707001,270.000000,top
"R11","806k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.138000,-114.291000,90.000000,top
"R12","2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",84.582000,-114.300000,270.000000,top
"SW2","RESET","SW_TACT_ALPS_SKQGABE010",92.710000,-144.780000,180.000000,top
"U2","CH340C","SOP-16_4.4x10.4mm_P1.27mm",135.001000,-88.392000,90.000000,top
"U3","TP4056","SSOP-8_3.95x5.21x3.27mm_P1.27mm",94.996000,-131.826000,0.000000,top
"U4","AP2112K-3.3","SOT-23-5",92.456000,-121.158000,90.000000,top
