Ref,Val,Package,PosX,PosY,Rot,Side
"D1","DIODE","D_SOD123_axial-dual",95.250000,-86.360000,270.000000,top
"D2","DIODE","D_SOD123_axial-dual",114.300000,-86.360000,270.000000,top
"D3","DIODE","D_SOD123_axial-dual",132.080000,-86.360000,270.000000,top
"D4","DIODE","D_SOD123_axial-dual",134.620000,-86.360000,270.000000,top
"D5","DIODE","D_SOD123_axial-dual",95.250000,-105.410000,270.000000,top
"D6","DIODE","D_SOD123_axial-dual",114.300000,-105.410000,270.000000,top
"D7","DIODE","D_SOD123_axial-dual",132.080000,-105.410000,270.000000,top
"D8","DIODE","D_SOD123_axial-dual",134.620000,-105.410000,270.000000,top
"D9","DIODE","D_SOD123_axial-dual",95.250000,-124.460000,270.000000,top
"D10","DIODE","D_SOD123_axial-dual",114.300000,-124.460000,270.000000,top
"D11","DIODE","D_SOD123_axial-dual",132.080000,-124.460000,270.000000,top
"D12","DIODE","D_SOD123_axial-dual",134.620000,-124.460000,270.000000,top
"D13","DIODE","D_SOD123_axial-dual",95.250000,-143.510000,270.000000,top
"D14","DIODE","D_SOD123_axial-dual",114.300000,-143.510000,270.000000,top
"D15","DIODE","D_SOD123_axial-dual",132.080000,-143.510000,270.000000,top
"D16","DIODE","D_SOD123_axial-dual",134.620000,-143.510000,270.000000,top
