Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0402_1005Metric",53.339999,-50.800000,90.000000,top
"C2","22pF","C_0402_1005Metric",51.435000,-50.800000,90.000000,top
"C3","10uF","C_0402_1005Metric",46.990000,-41.275000,270.000000,top
"C4","10uF","C_0402_1005Metric",50.165000,-47.625000,180.000000,top
"C5","10uF","C_0402_1005Metric",46.990000,-54.610000,180.000000,top
"C6","1nF","C_0402_1005Metric",48.109995,-47.624999,180.000000,top
"D1","B5819W","D_SOD-123",49.911000,-37.084000,0.000000,top
"D2","19-217/GHC-YR1S2/3T","LED_0402_1005Metric",46.990001,-43.664998,90.000000,top
"D3","KT-0603R","LED_0402_1005Metric",42.545001,-28.424998,90.000000,top
"D4","19-217/BHC-ZL1M2RY/3T","LED_0402_1005Metric",53.975001,-28.424998,90.000000,top
"J3","USB_C_Receptacle","HRO-TYPE-C-31-M-12-C165948",48.260000,-26.670000,180.000000,top
"L1","L","L_0805_2012Metric",43.688000,-54.610000,0.000000,top
"Q1","SI2301CDS-T1-GE3","SOT-23",49.530000,-40.148000,270.000000,top
"R1","100k","R_0402_1005Metric",51.943000,-39.624000,270.000000,top
"R2","10k","R_0402_1005Metric",48.664000,-42.545000,180.000000,top
"R3","1k","R_0402_1005Metric",46.990000,-45.870000,90.000000,top
"R4","806k","R_0402_1005Metric",50.165000,-48.895000,180.000000,top
"R5","2M","R_0402_1005Metric",48.109995,-48.894999,180.000000,top
"R6","5.1k","R_0402_1005Metric",42.545002,-33.504990,90.000000,top
"R7","1k","R_0402_1005Metric",42.545001,-30.964998,90.000000,top
"R8","1k","R_0402_1005Metric",53.975001,-30.964998,90.000000,top
"R9","5.1k","R_0402_1005Metric",53.975000,-33.655000,90.000000,top
"U1","TP4054ST","SOT-23-5",49.530000,-45.085000,90.000000,top
"U3","AP2112K-3.3","SOT-23-5",47.310000,-51.605000,270.000000,top
"U5","AP2112K-3.3","SOT-23-5",44.577000,-37.846000,90.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",52.050000,-53.340000,0.000000,top
