Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,R_0805_2012Metric,104.79754,-110.96498,0,bottom
C2,0.1uF,R_0805_2012Metric,104.7442,-108.93044,0,bottom
C3,10uF,R_0805_2012Metric,105.97642,-114.49018,90,bottom
C4,100 pF,R_0805_2012Metric,104.67816,-106.8705,0,bottom
C5,10uF,R_0805_2012Metric,112.141,-133.731,0,bottom
C6,1nF,R_0805_2012Metric,108.585,-103.759,0,bottom
C7,10uF,R_0805_2012Metric,112.141,-131.953,0,bottom
C8,10uF,R_0805_2012Metric,112.25498,-144.526,0,bottom
C9,0.1uF,R_0805_2012Metric,105.9965,-143.002,0,bottom
C10,100nF,R_0805_2012Metric,112.2195,-146.431,0,bottom
C11,100nF,R_0805_2012Metric,112.268,-140.843,0,bottom
C12,100nF,R_0805_2012Metric,105.9965,-140.97,0,bottom
D1,MBR120,D_SOD-123,106.808,-134.112,180,bottom
D2,D,D_SOD-123,106.807,-136.398,180,bottom
D3,D,D_SOD-123,106.808,-138.684,180,bottom
D4,BLUE,LED_0805_2012Metric,111.252,-106.68,270,bottom
D5,RED,LED_0805_2012Metric,113.538,-106.68,270,bottom
D6,RED,LED_0805_2012Metric,112.141,-137.287,0,bottom
L1,10uH,L_0805_2012Metric,103.53802,-114.4905,270,bottom
Q1,DMG3415U,SOT-23,106.172,-131.191,0,bottom
R1,10k,R_0805_2012Metric,108.325921,-114.430821,270,bottom
R2,100K,R_0805_2012Metric,112.24006,-142.621,0,bottom
R3,10K,R_0805_2012Metric,112.141,-135.509,0,bottom
R4,806K,R_0805_2012Metric,104.78008,-103.75646,0,bottom
R5,2M,R_0805_2012Metric,111.9655,-103.759,0,bottom
R6,1K,R_0805_2012Metric,105.9965,-145.034,0,bottom
R8,1k,R_0805_2012Metric,112.522,-109.22,180,bottom
R9,1k,R_0805_2012Metric,115.316,-110.998,90,bottom
R10,1k,R_0805_2012Metric,112.268,-139.065,0,bottom
U3,AP2112K-3.3,SOT-23-5,105.918,-127,90,bottom
J1,USB_OTG,USB_Micro-B_Molex-105017-0001,109.1692,-151.85898,0,top
R7,JUMP,R_0402_1005Metric,103.759,-151.869,270,top
U4,CH340C,SO-16-N,109.728,-143.764,0,top
