Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","R_0805_2012Metric",98.876880,-57.014720,0.000000,bottom
"C1","1uF","R_0805_2012Metric",73.876880,-57.014720,0.000000,bottom
"C1","1uF","R_0805_2012Metric",48.876880,-57.014720,0.000000,bottom
"C2","0.1uF","R_0805_2012Metric",98.823540,-54.980180,0.000000,bottom
"C2","0.1uF","R_0805_2012Metric",73.823540,-54.980180,0.000000,bottom
"C2","0.1uF","R_0805_2012Metric",48.823540,-54.980180,0.000000,bottom
"C3","10uF","R_0805_2012Metric",75.055760,-60.539920,90.000000,bottom
"C3","10uF","R_0805_2012Metric",100.055760,-60.539920,90.000000,bottom
"C3","10uF","R_0805_2012Metric",50.055760,-60.539920,90.000000,bottom
"C4","100 pF","R_0805_2012Metric",98.757500,-52.920240,0.000000,bottom
"C4","100 pF","R_0805_2012Metric",73.757500,-52.920240,0.000000,bottom
"C4","100 pF","R_0805_2012Metric",48.757500,-52.920240,0.000000,bottom
"C5","10uF","R_0805_2012Metric",56.220340,-79.780740,0.000000,bottom
"C5","10uF","R_0805_2012Metric",81.220340,-79.780740,0.000000,bottom
"C5","10uF","R_0805_2012Metric",106.220340,-79.780740,0.000000,bottom
"C6","1nF","R_0805_2012Metric",52.664340,-49.808740,0.000000,bottom
"C6","1nF","R_0805_2012Metric",102.664340,-49.808740,0.000000,bottom
"C6","1nF","R_0805_2012Metric",77.664340,-49.808740,0.000000,bottom
"C7","10uF","R_0805_2012Metric",106.220340,-78.002740,0.000000,bottom
"C7","10uF","R_0805_2012Metric",56.220340,-78.002740,0.000000,bottom
"C7","10uF","R_0805_2012Metric",81.220340,-78.002740,0.000000,bottom
"C8","10uF","R_0805_2012Metric",56.334320,-90.575740,0.000000,bottom
"C8","10uF","R_0805_2012Metric",106.334320,-90.575740,0.000000,bottom
"C8","10uF","R_0805_2012Metric",81.334320,-90.575740,0.000000,bottom
"C9","0.1uF","R_0805_2012Metric",50.075840,-89.051740,0.000000,bottom
"C9","0.1uF","R_0805_2012Metric",100.075840,-89.051740,0.000000,bottom
"C9","0.1uF","R_0805_2012Metric",75.075840,-89.051740,0.000000,bottom
"C10","100nF","R_0805_2012Metric",81.298840,-92.480740,0.000000,bottom
"C10","100nF","R_0805_2012Metric",106.298840,-92.480740,0.000000,bottom
"C10","100nF","R_0805_2012Metric",56.298840,-92.480740,0.000000,bottom
"C11","100nF","R_0805_2012Metric",106.347340,-86.892740,0.000000,bottom
"C11","100nF","R_0805_2012Metric",81.347340,-86.892740,0.000000,bottom
"C11","100nF","R_0805_2012Metric",56.347340,-86.892740,0.000000,bottom
"C12","100nF","R_0805_2012Metric",75.075840,-87.019740,0.000000,bottom
"C12","100nF","R_0805_2012Metric",100.075840,-87.019740,0.000000,bottom
"C12","100nF","R_0805_2012Metric",50.075840,-87.019740,0.000000,bottom
"D1","MBR120","D_SOD-123",75.887340,-80.161740,180.000000,bottom
"D1","MBR120","D_SOD-123",100.887340,-80.161740,180.000000,bottom
"D1","MBR120","D_SOD-123",50.887340,-80.161740,180.000000,bottom
"D2","D","D_SOD-123",50.886340,-82.447740,180.000000,bottom
"D2","D","D_SOD-123",75.886340,-82.447740,180.000000,bottom
"D2","D","D_SOD-123",100.886340,-82.447740,180.000000,bottom
"D3","D","D_SOD-123",100.887340,-84.733740,180.000000,bottom
"D3","D","D_SOD-123",50.887340,-84.733740,180.000000,bottom
"D3","D","D_SOD-123",75.887340,-84.733740,180.000000,bottom
"D4","BLUE","LED_0805_2012Metric",105.331340,-52.729740,270.000000,bottom
"D4","BLUE","LED_0805_2012Metric",55.331340,-52.729740,270.000000,bottom
"D4","BLUE","LED_0805_2012Metric",80.331340,-52.729740,270.000000,bottom
"D5","RED","LED_0805_2012Metric",82.617340,-52.729740,270.000000,bottom
"D5","RED","LED_0805_2012Metric",107.617340,-52.729740,270.000000,bottom
"D5","RED","LED_0805_2012Metric",57.617340,-52.729740,270.000000,bottom
"D6","RED","LED_0805_2012Metric",56.220340,-83.336740,0.000000,bottom
"D6","RED","LED_0805_2012Metric",106.220340,-83.336740,0.000000,bottom
"D6","RED","LED_0805_2012Metric",81.220340,-83.336740,0.000000,bottom
"L1","10uH","L_0805_2012Metric",47.617360,-60.540240,270.000000,bottom
"L1","10uH","L_0805_2012Metric",72.617360,-60.540240,270.000000,bottom
"L1","10uH","L_0805_2012Metric",97.617360,-60.540240,270.000000,bottom
"Q1","DMG3415U","SOT-23",100.251340,-77.240740,0.000000,bottom
"Q1","DMG3415U","SOT-23",75.251340,-77.240740,0.000000,bottom
"Q1","DMG3415U","SOT-23",50.251340,-77.240740,0.000000,bottom
"R1","10k","R_0805_2012Metric",102.405261,-60.480561,270.000000,bottom
"R1","10k","R_0805_2012Metric",77.405261,-60.480561,270.000000,bottom
"R1","10k","R_0805_2012Metric",52.405261,-60.480561,270.000000,bottom
"R2","100K","R_0805_2012Metric",106.319400,-88.670740,0.000000,bottom
"R2","100K","R_0805_2012Metric",81.319400,-88.670740,0.000000,bottom
"R2","100K","R_0805_2012Metric",56.319400,-88.670740,0.000000,bottom
"R3","10K","R_0805_2012Metric",56.220340,-81.558740,0.000000,bottom
"R3","10K","R_0805_2012Metric",106.220340,-81.558740,0.000000,bottom
"R3","10K","R_0805_2012Metric",81.220340,-81.558740,0.000000,bottom
"R4","806K","R_0805_2012Metric",48.859420,-49.806200,0.000000,bottom
"R4","806K","R_0805_2012Metric",98.859420,-49.806200,0.000000,bottom
"R4","806K","R_0805_2012Metric",73.859420,-49.806200,0.000000,bottom
"R5","2M","R_0805_2012Metric",106.044840,-49.808740,0.000000,bottom
"R5","2M","R_0805_2012Metric",81.044840,-49.808740,0.000000,bottom
"R5","2M","R_0805_2012Metric",56.044840,-49.808740,0.000000,bottom
"R6","1K","R_0805_2012Metric",75.075840,-91.083740,0.000000,bottom
"R6","1K","R_0805_2012Metric",100.075840,-91.083740,0.000000,bottom
"R6","1K","R_0805_2012Metric",50.075840,-91.083740,0.000000,bottom
"R8","1k","R_0805_2012Metric",56.601340,-55.269740,180.000000,bottom
"R8","1k","R_0805_2012Metric",81.601340,-55.269740,180.000000,bottom
"R8","1k","R_0805_2012Metric",106.601340,-55.269740,180.000000,bottom
"R9","1k","R_0805_2012Metric",59.395340,-57.047740,90.000000,bottom
"R9","1k","R_0805_2012Metric",84.395340,-57.047740,90.000000,bottom
"R9","1k","R_0805_2012Metric",109.395340,-57.047740,90.000000,bottom
"R10","1k","R_0805_2012Metric",81.347340,-85.114740,0.000000,bottom
"R10","1k","R_0805_2012Metric",106.347340,-85.114740,0.000000,bottom
